EET,7200,0,modern_time_ambiguous,modern,Africa/Cairo,Africa/Tripoli,Asia/Amman,Asia/Beirut,Asia/Damascus,Asia/Gaza,Asia/Nicosia,Europe/Athens,Europe/Bucharest,Europe/Chisinau,Europe/Helsinki,Europe/Istanbul,Europe/Kaliningrad,Europe/Kiev,Europe/Minsk,Europe/Moscow,Europe/Riga,Europe/Simferopol,Europe/Sofia,Europe/Tallinn,Europe/Uzhgorod,Europe/Vilnius,Europe/Warsaw,Europe/Zaporozhye
EGST,-3600,3600,not_ambiguous,modern,America/Scoresbysund
EGT,-3600,0,not_ambiguous,modern,America/Scoresbysund
EHDT,-18000,1800,not_ambiguous,modern,America/Santo_Domingo
EIT,32400,0,not_ambiguous,modern,Asia/Jayapura
EMT,-26248,0,not_ambiguous,historical,Pacific/Easter
EPT,-18000,3600,not_ambiguous,historical,America/Detroit,America/Iqaluit,America/Montreal,America/New_York,America/Nipigon,America/Thunder_Bay,America/Toronto,EST5EDT
EST,36000,3600,too_ambiguous,modern,America/Antigua,America/Atikokan,America/Cambridge_Bay,America/Cancun,America/Cayman,America/Chicago,America/Detroit,America/Grand_Turk,America/Indiana/Indianapolis,America/Indiana/Knox,America/Indiana/Marengo,America/Indiana/Petersburg,America/Indiana/Tell_City,America/Indiana/Vevay,America/Indiana/Vincennes,America/Indiana/Winamac,America/Iqaluit,America/Jamaica,America/Kentucky/Louisville,America/Kentucky/Monticello,America/Managua,America/Menominee,America/Merida,America/Moncton,America/Montreal,America/Nassau,America/New_York,America/Nipigon,America/Panama,America/Pangnirtung,America/Port-au-Prince,America/Rankin_Inlet,America/Resolute,America/Santo_Domingo,America/Thunder_Bay,America/Toronto,Antarctica/Macquarie,Australia/Brisbane,Australia/Broken_Hill,Australia/Currie,Australia/Hobart,Australia/Lindeman,Australia/Lord_Howe,Australia/Melbourne,Australia/Sydney,EST5EDT
EWT,-18000,3600,not_ambiguous,historical,America/Detroit,America/Iqaluit,America/Montreal,America/New_York,America/Nipigon,America/Thunder_Bay,America/Toronto,EST5EDT
FFMT,-14660,0,not_ambiguous,historical,America/Martinique
